1. A) ఎఫెసు, B) కొరింథు, C) అంతియొకయ, D) గలతీయ (B)
247. A) దిండ్లను, B) కట్టెలను, C) ఒక ప్రతిమను, D) బట్టల మూటను (C)
248. A) కుర్చీలో, B) కిటికీలో, C) వేదికపై, D) నేలమీద (B)
249. A) రెండవ అంతస్తు, B) మూడవ అంతస్తు, C) నాల్గవ అంతస్తు, D) ఐదవ అంతస్తు (B)
250. A) పేతురు, B) సీల, C) తిమోతి, D) పౌలు (D)
251. A) అద్దము ద్వారా, B) కిటికీ ద్వారా, C) తెర వెనుక నుండి, D) గోడ రంధ్రము నుండి (B)
252. A) సైనికులకు, B) దాసులకు, C) నపుంసకులకు, D) ప్రజలకు (C)
253. A) నక్కలు, B) కుక్కలు, C) సింహాలు, D) తోడేళ్లు (B)
254. A) పెట్టెలో, B) సంచిలో, C) গంపలో, D) తట్టలో (C)
255. A) తలుపులు, B) కిటికీలు, C) తెరలు, D) పైకప్పు (B)
256. A) ప్రాకారము గుండా, B) మార్గము గుండా, C) రథము గుండా, D) కిటికీ గుండా (D)
257. A) పెద్ద కిటికీలు, B) చట్రములు గల కిటికీలు, C) గుండ్రని కిటికీలు, D) ఇనుప కిటికీలు (B)
258. A) ద్వారములు, B) కిటికీలు, C) మేఘములు, D) రంధ్రములు (B)
259. A) నిధులు, B) గుమ్మములను, C) కిటికీలను, D) ఆశీర్వాదములను (C)
260. A) దెబోరా ఇల్లు, B) రాహాబు ఇల్లు, C) మీకాలు ఇల్లు, D) రూతు ఇల్లు (B)
